epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,49120.6,1.30639,0.78348,1.01146,0.58027,0.42028,0.44807,0.255,1.4081,0.86309,1.02646,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,49596.2,1.30196,0.77852,1.01076,0.58869,0.40952,0.44769,0.25472,1.409,0.86368,1.02681,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,50072.3,1.30047,0.77429,1.01067,0.58686,0.41325,0.44741,0.25434,1.40917,0.86326,1.02712,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,50549.5,1.29776,0.77337,1.00978,0.58935,0.41226,0.4462,0.25377,1.40922,0.86305,1.02694,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,51028.3,1.29927,0.77614,1.0091,0.5884,0.41146,0.44572,0.25363,1.40907,0.8624,1.02699,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,51504.1,1.29119,0.77045,1.00674,0.59925,0.40299,0.44519,0.25369,1.40914,0.8623,1.02687,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,51981.3,1.28883,0.76288,1.00341,0.60291,0.40289,0.44453,0.25381,1.40936,0.86172,1.02688,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,52457.1,1.29189,0.76683,1.00724,0.58977,0.40556,0.44461,0.25353,1.40943,0.8615,1.0267,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,52933.1,1.29053,0.76547,1.00674,0.60007,0.40479,0.4433,0.25342,1.40938,0.86107,1.02662,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,53408.6,1.28784,0.76581,1.00537,0.63978,0.3877,0.44386,0.25272,1.40953,0.86096,1.02657,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,53884,1.28923,0.76353,1.00427,0.62676,0.3893,0.44194,0.25193,1.40909,0.86113,1.02628,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
