epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
120,57006.5,1.10132,0.62769,0.935,0.73614,0.55903,0.621,0.38554,1.06731,0.62359,0.91175,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,57480.7,1.09728,0.62457,0.93144,0.73477,0.5602,0.62037,0.38586,1.06728,0.62385,0.91177,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,57955.1,1.09348,0.6239,0.93285,0.72771,0.56234,0.61997,0.38567,1.06756,0.62378,0.91187,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,58429.2,1.09587,0.62281,0.93236,0.72774,0.56171,0.62014,0.38565,1.06772,0.62407,0.9119,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,58903.3,1.09092,0.62134,0.92966,0.73854,0.55474,0.62022,0.38586,1.06762,0.62397,0.91185,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,59377.6,1.08999,0.62125,0.93201,0.73649,0.55535,0.62046,0.38624,1.06751,0.62375,0.91182,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,59851.8,1.0899,0.61989,0.93108,0.74084,0.55291,0.61964,0.38593,1.06759,0.62369,0.91174,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,60325.6,1.08628,0.61768,0.93039,0.74989,0.55016,0.61904,0.38526,1.06759,0.6237,0.91174,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,60800.1,1.09047,0.61895,0.93088,0.74727,0.55054,0.61889,0.3851,1.06742,0.62362,0.91163,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,61274.2,1.08688,0.61634,0.92819,0.7502,0.54884,0.61955,0.3851,1.06756,0.62379,0.9117,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,61748.6,1.08666,0.61574,0.93028,0.75293,0.54785,0.62014,0.38519,1.06743,0.62373,0.9117,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,62222.8,1.08353,0.61315,0.92718,0.75741,0.54527,0.62015,0.38451,1.06748,0.62388,0.91177,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
